Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LatitudeRaiz,LongitudeRaiz,Altitude,Operação Diurna,Operação Noturna,Designação 1,Comprimento 1,Largura 1,Resistência 1,Superfície 1,Designação 2,Comprimento 2,Largura 2,Resistência 2,Superfície 2,Situação,Validade do Registro,Portaria de Registro,Link Portaria,lat,lon
SBRB,AC0001,Plácido de Castro,RIO BRANCO,Acre,Rio Branco,Acre,"09°52'06.0S""","067°53'53.0W""",193,VFR / IFR - CAT I,VFR / IFR - CAT I,06/24,2158,45,78/F/D/X/T,Asfalto,,,,,,Cadastrado,23/08/2028,PA2018-2577,https://pergamum.anac.gov.br/arquivos/PA2018-2577.pdf,-9.868333333,-67.898055556
SNGA,ES0007,Guarapari,GUARAPARI,Espírito Santo,Guarapari,Espírito Santo,"20°38'47.0S""","040°29'30.0W""",9,VFR,VFR,06/24,940,30,13/F/C/X/T,Asfalto,,,,,,Cadastrado,06/11/2027,PA2017-3632,https://pergamum.anac.gov.br/arquivos/PA2017-3632.pdf,-20.646388889,-40.491666667
SBIZ,MA0002,Prefeito Renato Moreira,IMPERATRIZ,Maranhão,Imperatriz,Maranhão,"05°31'50.0S""","047°27'30.0W""",131,VFR / IFR Não Precisão,VFR / IFR Não Precisão,07/25,1798,45,50/F/A/X/T,Asfalto,,,,,,Cadastrado,24/07/2028,PA2018-2252,https://pergamum.anac.gov.br/arquivos/PA2018-2252.pdf,-5.530555556,-47.458333333
SBPC,MG0018,Embaixador Walther Moreira Salles,POÇOS DE CALDAS,Minas Gerais,Poços de Caldas,Minas Gerais,"21°50'16.0S""","046°33'58.0W""",1261,VFR / IFR Não Precisão,Sem Operação,09/27,1515,30,14/F/C/Y/U,Asfalto,,,,,,Cadastrado,20/02/2029,PA2019-0534,https://pergamum.anac.gov.br/arquivos/PA2019-0534.pdf,-21.837777778,-46.566111111
SSCD,MS0007,Chapadão do Sul,CHAPADÃO DO SUL,Mato Grosso do Sul,Chapadão do Sul,Mato Grosso do Sul,"18°50'21.0S""","052°29'17.0W""",817,VFR,VFR,05/23,2000,30,30/F/C/X/T,Asfalto,,,,,,Cadastrado,01/10/2028,PA2018-2968,https://pergamum.anac.gov.br/arquivos/PA2018-2968.pdf,-18.839166667,-52.488055556
SBBE,PA0001,Aeroporto Internacional de Bélem,BELÉM,Pará,Belém,Pará,"01°23'05.0S""","048°28'44.0W""",17,VFR / IFR - CAT I,VFR / IFR - CAT I,02/20,1830,45,50/F/A/X/T,Asfalto,06/24,2800,45,65/F/A/X/T,Asfalto,Cadastrado,,,,-1.384722222,-48.478888889
SBJP,PB0001,Internacional Presidente Castro Pinto,BAYEUX,Paraíba,João Pessoa,Paraíba,"07°08'54.0S""","034°57'01.0W""",66,VFR / IFR Não Precisão,VFR / IFR Não Precisão,16/34,2515,45,52/F/B/X/T,Asfalto,,,,,,Cadastrado,22/05/2025,PA2015-1203,https://pergamum.anac.gov.br/arquivos/PA2015-1203.pdf,-7.148333333,-34.950277778
SBKG,PB0003,Presidente João Suassuna,CAMPINA GRANDE,Paraíba,Campina Grande,Paraíba,"07°16'09.0S""","035°53'42.0W""",502,VFR / IFR Não Precisão,VFR / IFR Não Precisão,15/33,1600,42,50/F/A/X/T,Asfalto,,,,,,Cadastrado,15/03/2026,PA2016-0575,https://pergamum.anac.gov.br/arquivos/PA2016-0575.pdf,-7.269166667,-35.895
SBMG,PR0004,Silvio Name Júnior,MARINGÁ,Paraná,Maringá,Paraná,"23°28'46.0S""","052°00'44.0W""",549,VFR / IFR Não Precisão,VFR / IFR Não Precisão,10/28,2100,45,45/F/A/X/T,Asfalto,,,,,,Cadastrado,25/01/2031,PA2020-4088,https://pergamum.anac.gov.br/arquivos/PA2020-4088.pdf,-23.479444444,-52.012222222
SBCA,PR0005,Coronel Adalberto Mendes da Silva,CASCAVEL,Paraná,Cascavel,Paraná,"25°00'08.0S""","053°30'07.0W""",759,VFR / IFR Não Precisão,VFR / IFR Não Precisão,15/33,1615,30,48/F/B/X/T,Asfalto,,,,,,Cadastrado,20/11/2025,PA2015-3092,https://pergamum.anac.gov.br/arquivos/PA2015-3092.pdf,-25.002222222,-53.501944444
SSNG,RS0046,Montenegro,MONTENEGRO,Rio Grande do Sul,Montenegro,Rio Grande do Sul,"29°43'11.0S""","051°29'20.0W""",24,VFR,Sem Operação,13/31,920,23,5700 Kg / 0.50 MPa,Grama,,,,,,Cadastrado,13/07/2026,PA2016-1774,https://pergamum.anac.gov.br/arquivos/PA2016-1774.pdf,-29.719722222,-51.488888889
