Código OACI	CIAD	Nome	Município	UF	Município Servido	UF Servido	Latitude	Longitude	LatitudeRaiz	Lat Raiz	Lat 60	Lat 3600	LongitudeRaiz	Lon Raiz	Lon 60	Lon 3600	Altitude	Operação Diurna	Operação Noturna	Designação 1	Comprimento 1	Largura 1	Resistência 1	Superfície 1	Designação 2	Comprimento 2	Largura 2	Resistência 2	Superfície 2	Situação	Validade do Registro	Portaria de Registro	Link Portaria
SBRB	AC0001	Plácido de Castro	RIO BRANCO	Acre	Rio Branco	Acre	-9.868333333	-67.898055556	09°52'06.0S"	9.000000000	0.866666667	0.001666667	067°53'53.0W"	67.000000000	0.883333333	0.014722222	193	VFR / IFR - CAT I	VFR / IFR - CAT I	06/24	2158	45	78/F/D/X/T	Asfalto						Cadastrado	23/08/2028	PA2018-2577	https://pergamum.anac.gov.br/arquivos/PA2018-2577.pdf
SNGA	ES0007	Guarapari	GUARAPARI	Espírito Santo	Guarapari	Espírito Santo	-20.646388889	-40.491666667	20°38'47.0S"	20.000000000	0.633333333	0.013055556	040°29'30.0W"	40.000000000	0.483333333	0.008333333	9	VFR	VFR	06/24	940	30	13/F/C/X/T	Asfalto						Cadastrado	06/11/2027	PA2017-3632	https://pergamum.anac.gov.br/arquivos/PA2017-3632.pdf
SBIZ	MA0002	Prefeito Renato Moreira	IMPERATRIZ	Maranhão	Imperatriz	Maranhão	-5.530555556	-47.458333333	05°31'50.0S"	5.000000000	0.516666667	0.013888889	047°27'30.0W"	47.000000000	0.450000000	0.008333333	131	VFR / IFR Não Precisão	VFR / IFR Não Precisão	07/25	1798	45	50/F/A/X/T	Asfalto						Cadastrado	24/07/2028	PA2018-2252	https://pergamum.anac.gov.br/arquivos/PA2018-2252.pdf
SBPC	MG0018	Embaixador Walther Moreira Salles	POÇOS DE CALDAS	Minas Gerais	Poços de Caldas	Minas Gerais	-21.837777778	-46.566111111	21°50'16.0S"	21.000000000	0.833333333	0.004444444	046°33'58.0W"	46.000000000	0.550000000	0.016111111	1261	VFR / IFR Não Precisão	Sem Operação	09/27	1515	30	14/F/C/Y/U	Asfalto						Cadastrado	20/02/2029	PA2019-0534	https://pergamum.anac.gov.br/arquivos/PA2019-0534.pdf
SSCD	MS0007	Chapadão do Sul	CHAPADÃO DO SUL	Mato Grosso do Sul	Chapadão do Sul	Mato Grosso do Sul	-18.839166667	-52.488055556	18°50'21.0S"	18.000000000	0.833333333	0.005833333	052°29'17.0W"	52.000000000	0.483333333	0.004722222	817	VFR	VFR	05/23	2000	30	30/F/C/X/T	Asfalto						Cadastrado	01/10/2028	PA2018-2968	https://pergamum.anac.gov.br/arquivos/PA2018-2968.pdf
SBBE	PA0001	Aeroporto Internacional de Bélem	BELÉM	Pará	Belém	Pará	-1.384722222	-48.478888889	01°23'05.0S"	1.000000000	0.383333333	0.001388889	048°28'44.0W"	48.000000000	0.466666667	0.012222222	17	VFR / IFR - CAT I	VFR / IFR - CAT I	02/20	1830	45	50/F/A/X/T	Asfalto	06/24	2800	45	65/F/A/X/T	Asfalto	Cadastrado			
SBJP	PB0001	Internacional Presidente Castro Pinto	BAYEUX	Paraíba	João Pessoa	Paraíba	-7.148333333	-34.950277778	07°08'54.0S"	7.000000000	0.133333333	0.015000000	034°57'01.0W"	34.000000000	0.950000000	0.000277778	66	VFR / IFR Não Precisão	VFR / IFR Não Precisão	16/34	2515	45	52/F/B/X/T	Asfalto						Cadastrado	22/05/2025	PA2015-1203	https://pergamum.anac.gov.br/arquivos/PA2015-1203.pdf
SBKG	PB0003	Presidente João Suassuna	CAMPINA GRANDE	Paraíba	Campina Grande	Paraíba	-7.269166667	-35.895000000	07°16'09.0S"	7.000000000	0.266666667	0.002500000	035°53'42.0W"	35.000000000	0.883333333	0.011666667	502	VFR / IFR Não Precisão	VFR / IFR Não Precisão	15/33	1600	42	50/F/A/X/T	Asfalto						Cadastrado	15/03/2026	PA2016-0575	https://pergamum.anac.gov.br/arquivos/PA2016-0575.pdf
SBMG	PR0004	Silvio Name Júnior	MARINGÁ	Paraná	Maringá	Paraná	-23.479444444	-52.012222222	23°28'46.0S"	23.000000000	0.466666667	0.012777778	052°00'44.0W"	52.000000000	0.000000000	0.012222222	549	VFR / IFR Não Precisão	VFR / IFR Não Precisão	10/28	2100	45	45/F/A/X/T	Asfalto						Cadastrado	25/01/2031	PA2020-4088	https://pergamum.anac.gov.br/arquivos/PA2020-4088.pdf
SBCA	PR0005	Coronel Adalberto Mendes da Silva	CASCAVEL	Paraná	Cascavel	Paraná	-25.002222222	-53.501944444	25°00'08.0S"	25.000000000	0.000000000	0.002222222	053°30'07.0W"	53.000000000	0.500000000	0.001944444	759	VFR / IFR Não Precisão	VFR / IFR Não Precisão	15/33	1615	30	48/F/B/X/T	Asfalto						Cadastrado	20/11/2025	PA2015-3092	https://pergamum.anac.gov.br/arquivos/PA2015-3092.pdf
