Código OACI	CIAD	Nome	Município	UF	Município Servido	UF Servido	AntesLongitude	AntesLatitude	Altitude	Operação Diurna	Operação Noturna	Designação 1	Comprimento 1	Largura 1	Resistência 1	Superfície 1	Designação 2	Comprimento 2	Largura 2	Resistência 2	Superfície 2	Situação	Validade do Registro	Portaria de Registro	Link Portaria	Classe	longitude	latitude
SWZX	BA0322	Selma Nunes	MACAÚBAS	Bahia			042°33'09,0W"	13°05'39,0S"	579,0	VFR	VFR	06/24	1400,0000	22,00	20/F/A/X/T	Asfalto							01/10/2030	PA2020-2432	https://pergamum,anac,gov,br/arquivos/PA2020-2432,pdf	Privado	-42.5525000000000	-13.0941666666667
SDXM	MG0474	Monte Cristo	MONTE BELO	Minas Gerais			046°24'03.0W"	21°21'47.0S"	911,0	VFR	VFR	06/24	799,0000	23,00	5700 Kg /   0.50 MPa	Grama							01/10/2030	PA2020-2381	https://pergamum.anac.gov.br/arquivos/PA2020-2381.pdf	Privado	-46.4008333333300	-21.3630555555556
SSLB	MS0300	Fazenda São Paulino	CORUMBÁ	Mato Grosso do Sul			055°55'30.0W"	19°01'32.0S"	120,0	VFR	VFR	07/25	560,0000	20,00	5000 Kg /   0.50 MPa	Grama							25/02/2031	PA2021-4237	https://pergamum.anac.gov.br/arquivos/PA2021-4237.pdf	Privado	-55.9250000000000	-19.0255555555556
SDZI	BA0083	Fazenda Trijunção	JABORANDI	Bahia			046°00'18.0W"	14°47'43.0S"	944,0	VFR	VFR	07/25	1260,0000	23,00	5/F/D/X/T	Terra										Privado	-46.0050000000000	-14.7952777777778
SIAI	PR0042	Fazenda Esteirinha	GOIOERÊ	Paraná			053°10'53.0W"	24°12'33.0S"	434,0	VFR	VFR	09/27	1200,0000	20,00	4000 Kg /   0.50 MPa	Grama							16/04/2028	PA2020-1725	https://pergamum.anac.gov.br/arquivos/PA2020-1725.pdf	Privado	-53.1813888888900	-24.2091666666667
SJFF	SP0207	Frigo Estrela	ESTRELA D'OESTE	São Paulo			050°24'40.1W"	20°17'44.5S"	483,0	VFR	VFR	06/24	1070,0000	23,00	12/F/C/Y/U	Asfalto							25/02/2031	PA2021-4187	https://pergamum.anac.gov.br/arquivos/PA2021-4187.pdf	Privado	-50.4111388888900	-20.2956944444444
SIEL	RO0013	Eletro Cesar Primavera	PIMENTA BUENO	Rondônia			061°13'33.0W"	11°54'14.0S"	204,0	VFR	VFR	14/32	799,0000	18,00	64/F/B/X/T	Asfalto							11/09/2024	PA2021-4309	https://pergamum.anac.gov.br/arquivos/PA2021-4309.pdf	Privado	-61.2258333333300	-11.9038888888889
SIPE	PE0014	Itapessoca	GOIANA	Pernambuco			034°51'24.6W"	07°39'23.9S"	5,0	VFR	VFR	05/23	1433,0000	30,00	11/F/B/X/T	Asfalto										Privado	-34.8568333333300	-7.65663888888889
SBQK	PA0246	Fazenda Mundial	SÃO FÉLIX DO XINGU	Pará			051°26'31.0W"	06°32'20.0S"	237,0	VFR	VFR	12/30	1101,0000	25,00	5700 Kg /   0.50 MPa	Cascalho							14/09/2030	PA2020-2165	https://pergamum.anac.gov.br/arquivos/PA2020-2165.pdf	Privado	-51.4419444444400	-6.53888888888889
SBOR	GO0290	Fazenda AgroTamareira	MUNDO NOVO	Goiás			050°21'29.0W"	13°43'49.0S"	248,0	VFR	VFR	18/36	1020,0000	18,00	5000 Kg /   0.50 MPa	Asfalto							26/10/2030			Privado	-50.3580555555600	-13.7302777777778
SSVC	MS0533	Fazenda Vazante	AQUIDAUANA	Mato Grosso do Sul			056°09'42.0W"	20°03'48.0S"	124,0	VFR / IFR Não Precisão	VFR / IFR Não Precisão	11/29	600,0000	20,00	5700 Kg /   0.50 MPa	Grama	15/33	2100,0000	45,00	44/F/B/X/T	Asfalto		14/09/2030	PA2002-2077	https://pergamum.anac.gov.br/arquivos/PA2002-2077.pdf	Privado	-56.1616666666700	-20.0633333333333
SDCD	SP0082	Catanduva	CATANDUVA	São Paulo			048°59'17.0W"	21°08'55.0S"	561,0	VFR	VFR	06/24	985,0000	20,00	15/F/C/Y/U	Asfalto							25/02/2031	PA2021-4191	https://pergamum.anac.gov.br/arquivos/PA2021-4191.pdf	Privado	-48.9880555555600	-21.1486111111111
SIDW	MT0089	Fazenda Cortezia	LUCAS DO RIO VERDE	Mato Grosso			056°05'16.0W"	13°00'06.0S"	413,0	VFR	VFR	01/19	1600,0000	20,00	8/F/B/Y/U	Asfalto							22/11/2028	PA2021-4615	https://pergamum.anac.gov.br/arquivos/PA2021-4615.pdf	Privado	-56.0877777777800	-13.0016666666667
SNDR	MA0035	Domingos Rego	TIMON	Maranhão			042°52'25.0W"	05°04'51.0S"	92,0	VFR	VFR	02/20	1518,0000	30,00	36/F/B/X/T	Asfalto							09/09/2030	PA2020-2094	https://pergamum.anac.gov.br/arquivos/PA2020-2094.pdf	Privado	-42.8736111111100	-5.08083333333333
SNSK	SP0238	Central Ferraz	HERCULÂNDIA	São Paulo			050°18'31.0W"	21°52'09.0S"	498,0	VFR	VFR	16/34	1000,0000	18,00	7/F/B/X/T	Asfalto							18/09/2030	PA2020-2290	https://pergamum.anac.gov.br/arquivos/PA2020-2290.pdf	Privado	-50.3086111111100	-21.8691666666667
SBQJ	PR0155	Osvaldo de Carvalho	IBAITI	Paraná			050°12'30.0W"	23°50'47.2S"	797,0	VFR	VFR	17/35	1200,0000	23,00	6/F/B/X/T	Asfalto							28/09/2030	PA2020-2452	https://pergamum.anac.gov.br/arquivos/PA2020-2452.pdf	Privado	-50.2083333333300	-23.8464444444444
SJVL	SC0033	Vale Europeu	GUARAMIRIM	Santa Catarina			048°52'35.0W"	26°25'22.0S"	12,0	VFR	VFR	11/29	1075,0000	23,00	8/F/B/X/T	Asfalto							09/02/2025	PA2020-1627	https://pergamum.anac.gov.br/arquivos/PA2020-1627.pdf	Privado	-48.8763888888900	-26.4227777777778
	MA0117	Fazenda Norton	TASSO FRAGOSO	Maranhão			045°55'25.0W"	08°25'25.0S"	492,0	VFR	VFR	12/30	1500,0000	30,00	9/F/A/X/T	Asfalto							06/04/2031	PA2021-4634	https://pergamum.anac.gov.br/arquivos/PA2021-4634.pdf	Privado	-45.9236111111100	-8.42361111111111
SDXD	BA0081	Fazenda Guará	JABORANDI	Bahia			045°48'17.0W"	14°38'23.0S"	855,0	VFR	VFR	17/35	900,0000	18,00	5000 Kg /   0.50 MPa	Saibro							14/09/2025	PA2015-2390	https://pergamum.anac.gov.br/arquivos/PA2015-2390.pdf	Privado	-45.8047222222200	-14.6397222222222
SNBW	MT0568	Fazenda Santa Luzia	SAPEZAL	Mato Grosso			058°53'21.0W"	13°43'54.0S"	596,0	VFR	VFR	15/33	1600,0000	23,00	11/F/B/X/U	Asfalto										Privado	-58.8891666666700	-13.7316666666667
	SC0179	Linha Becker	ITAPIRANGA	Santa Catarina			053°46'39.0W"	27°06'34.0S"	335,0	VFR	VFR	03/21	370,0000	18,00	4500 Kg /   0.40 MPa	Grama							21/12/2030	PA2020-3231	https://pergamum.anac.gov.br/arquivos/PA2020-3231.pdf	Privado	-53.7775000000000	-27.1094444444444
SJZG	TO0035	Fazenda São Geraldo	CASEARA	Tocantins			049°43'06.4W"	09°34'25.0S"	193,0	VFR	VFR	09/27	1700,0000	25,00	44/F/A/X/T	Terra							01/03/2026	PA2021-4823	https://pergamum.anac.gov.br/arquivos/PA2021-4823.pdf	Privado	-49.7184444444400	-9.57361111111111
SWJR	MS0417	Fazenda Santa Rita	AQUIDAUANA	Mato Grosso do Sul			055°31'12.0W"	19°15'04.0S"	134,0	VFR	VFR	17/35	1200,0000	18,00	5700 Kg /   0.50 MPa	Grama										Privado	-55.5200000000000	-19.2511111111111
SNLL	GO0191	Condomínio Liberty	GOIANÁPOLIS	Goiás			049°00'44.0W"	16°27'57.0S"	1022,0	VFR	VFR	18/36	1640,0000	30,00	28/F/B/X/U	Asfalto										Privado	-49.0122222222200	-16.4658333333333
SDLI	MT0570	Fazenda Dois Irmãos	CAMPO NOVO DO PARECIS	Mato Grosso			057°52'30.0W"	13°36'09.0S"	547,0	VFR	VFR	05/23	900,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							19/11/2030	PA2020-3028	https://pergamum.anac.gov.br/arquivos/PA2020-3028.pdf	Privado	-57.8750000000000	-13.6025
SNLV	SC0191	Maria Magalhães	PORTO UNIÃO	Santa Catarina			051°00'45.0W"	26°15'04.0S"	754,0	VFR	VFR	12/30	895,0000	18,00	25/F/A/X/U	Asfalto								PA2020-1700	https://pergamum.anac.gov.br/arquivos/PA2020-1700.pdf	Privado	-51.0125000000000	-26.2511111111111
SJDS	CE0018	Dias Branco	EUSÉBIO	Ceará			038°29'21.0W"	03°55'02.0S"	46,0	VFR	VFR	13/31	1800,0000	32,00	26/F/B/X/T	Asfalto							03/05/2031	PA2021-4821	https://pergamum.anac.gov.br/arquivos/PA2021-4821.pdf	Privado	-38.4891666666700	-3.91722222222222
SITR	GO0056	Fazenda Tamboril	BOM JESUS DE GOIÁS	Goiás			049°44'14.0W"	18°05'59.0S"	649,0	VFR	VFR	08/26	1300,0000	20,00	10/F/A/W/T	Asfalto							11/04/2026	PA2020-2057	https://pergamum.anac.gov.br/arquivos/PA2020-2057.pdf	Privado	-49.7372222222200	-18.0997222222222
SJXO	BA0337	Grupo DH	JABORANDI	Bahia			045°33'13.0W"	14°17'44.0S"	834,0	VFR	VFR	09/27	1300,0000	18,00	7/F/A/Y/T	Asfalto							07/05/2030	PA2020-1783	https://pergamum.anac.gov.br/arquivos/PA2020-1783.pdf	Privado	-45.5536111111100	-14.2955555555556
SWNZ	MT0648	Fazenda Jamaica	SERRA NOVA DOURADA	Mato Grosso			051°36'05.0W"	11°55'36.0S"	336,0	VFR	VFR	09/27	1540,0000	20,00	13/F/B/Y/T	Asfalto										Privado	-51.6013888888900	-11.9266666666667
SNLQ	GO0100	Fazenda Conforto	NOVA CRIXÁS	Goiás			050°24'57.0W"	14°03'57.0S"	294,0	VFR	VFR	11/29	1620,0000	25,00	28/F/A/X/T	Asfalto							01/10/2023	PA2020-2286	https://pergamum.anac.gov.br/arquivos/PA2020-2286.pdf	Privado	-50.4158333333300	-14.0658333333333
SSGR	GO0218	Regional de Santa Helena de Goiás - Paulo Lopes	SANTA HELENA DE GOIÁS	Goiás			050°35'29.0W"	17°47'03.0S"	658,0	VFR	VFR	12/30	1400,0000	30,00	29/F/B/X/T	Asfalto							14/12/2030	PA2021-4155	https://pergamum.anac.gov.br/arquivos/PA2021-4155.pdf	Privado	-50.5913888888900	-17.7841666666667
SIVG	MT0141	Clube Aerodesportivo Selva	SINOP	Mato Grosso			055°26'39.0W"	11°52'33.0S"	378,0	VFR	VFR	10/28	1000,0000	18,00	8/F/B/Y/U	Asfalto										Privado	-55.4441666666700	-11.8758333333333
SJLV	RR0062	Morro	UIRAMUTÃ	Roraima			059°58'12.0W"	04°21'26.0N"	546,0	VFR	Sem Operação	18/36	700,0000	20,00	4000 Kg /   0.50 MPa	Terra							28/12/2022	PA2012-2861	https://pergamum.anac.gov.br/arquivos/PA2012-2861.pdf	Privado	-59.9700000000000	4.35722222222222
SIJW	MS0093	Fazenda Retimar	IGUATEMI	Mato Grosso do Sul			054°49'05.0W"	23°30'26.0S"	341,0	VFR	Sem Operação	18/36	760,0000	18,00	5700 Kg /   0.50 MPa	Grama							19/07/2027	PA2017-2165	https://pergamum.anac.gov.br/arquivos/PA2017-2165.pdf	Privado	-54.8180555555600	-23.5072222222222
